,fips_id,year,num_events,total_injuries,total_deaths,property_damage,crop_damage
0,34017,1996,21,0,0,0,0
1,36087,1996,12,0,0,0,0
2,36085,1996,11,0,0,0,0
3,36080,1996,7,0,0,0,0
4,36079,1996,14,0,0,0,0
5,36078,1996,6,0,0,0,0
6,36074,1996,5,0,0,0,0
7,36071,1996,18,0,0,0,0
8,36070,1996,2,1,1,0,0
9,36103,1996,11,0,0,0,0
10,36068,1996,3,0,0,0,0
11,36056,1996,3,0,0,0,0
12,36046,1996,2,0,0,0,0
13,36045,1996,3,0,0,0,0
14,36044,1996,3,0,0,0,0
15,36024,1996,2,0,0,0,0
16,36022,1996,1,0,0,0,0
17,36005,1996,10,0,0,0,0
18,35053,1996,2,0,0,0,0
19,36062,1996,3,0,0,0,0
20,36119,1996,17,0,0,0,0
21,37001,1996,1,0,0,0,0
22,37007,1996,2,0,0,0,0
23,37049,1996,2,0,0,0,0
24,37048,1996,1,0,0,0,0
25,37046,1996,3,0,0,0,0
26,37045,1996,3,0,0,0,0
27,37037,1996,2,0,0,0,0
28,37034,1996,1,0,0,0,0
29,37032,1996,1,0,0,0,0
30,37031,1996,2,0,0,0,0
31,37030,1996,1,0,0,0,0
32,37029,1996,2,0,0,0,0
33,37027,1996,5,0,0,0,0
34,37023,1996,2,0,0,0,0
35,37021,1996,3,0,0,0,0
36,37017,1996,2,0,0,0,0
37,37016,1996,1,0,0,0,0
38,37015,1996,1,0,0,0,0
39,37014,1996,1,0,0,0,0
40,37012,1996,1,0,0,0,0
41,37011,1996,1,0,0,0,0
42,35043,1996,1,0,0,0,0
43,35025,1996,1,0,0,0,0
44,35015,1996,10,0,0,0,0
45,35013,1996,1,0,0,0,0
46,33006,1996,1,0,0,0,0
47,33005,1996,5,0,0,0,0
48,33004,1996,3,0,0,0,0
49,33003,1996,4,0,0,0,0
50,33002,1996,4,0,0,0,0
51,32013,1996,1,0,0,0,0
52,32007,1996,4,0,0,0,0
53,31177,1996,1,0,0,0,0
54,31155,1996,3,0,0,0,0
55,31151,1996,1,0,0,0,0
56,31141,1996,1,0,0,0,2000000
57,31137,1996,1,0,0,0,0
58,31133,1996,2,0,0,0,0
59,31107,1996,1,0,0,0,0
60,31105,1996,2,0,0,0,0
61,31095,1996,2,0,0,0,0
62,31067,1996,3,0,0,0,0
63,31059,1996,1,0,0,0,0
64,31053,1996,1,0,0,0,0
65,33008,1996,1,0,0,0,0
66,37050,1996,2,0,0,0,0
67,33010,1996,3,0,0,0,0
68,33012,1996,7,0,0,0,0
69,35005,1996,1,0,4,0,0
70,34041,1996,2,0,0,0,0
71,34037,1996,2,0,0,0,0
72,34033,1996,2,0,0,0,0
73,34031,1996,14,0,1,0,0
74,34029,1996,3,0,0,0,0
75,34022,1996,7,0,0,0,0
76,34020,1996,7,0,0,0,0
77,34018,1996,13,0,0,0,0
78,99031,1996,3,0,0,0,0
79,34016,1996,9,0,0,0,0
80,34015,1996,10,0,0,0,0
81,34012,1996,10,0,0,0,0
82,34011,1996,6,0,0,0,0
83,34006,1996,3,0,0,0,0
84,34005,1996,10,0,0,0,0
85,34004,1996,4,0,0,0,0
86,34002,1996,3,0,0,0,0
87,33014,1996,1,0,0,0,0
88,33011,1996,9,0,0,0,0
89,31047,1996,1,0,0,0,0
90,37051,1996,3,0,0,0,0
91,37054,1996,1,0,0,0,0
92,38041,1996,1,0,0,0,0
93,38039,1996,3,0,0,0,0
94,38038,1996,3,0,0,0,0
95,38031,1996,1,0,0,0,0
96,38030,1996,3,0,0,0,0
97,38029,1996,3,0,0,0,0
98,38028,1996,3,0,0,0,0
99,38027,1996,3,0,0,0,0
100,38049,1996,3,0,0,0,0
101,38026,1996,3,0,0,0,0
102,38015,1996,1,0,1,0,0
103,38008,1996,3,0,0,0,0
104,38007,1996,3,0,0,0,0
105,37191,1996,2,0,0,0,0
106,37185,1996,1,0,0,0,0
107,37183,1996,5,0,0,0,0
108,37181,1996,1,0,0,0,0
109,37179,1996,2,0,0,0,0
110,38016,1996,3,0,0,0,0
111,38052,1996,3,0,0,0,0
112,38053,1996,3,0,0,0,0
113,38091,1996,1,0,0,0,0
114,39147,1996,3,0,0,0,0
115,39121,1996,4,0,0,0,0
116,39119,1996,5,0,0,0,0
117,39117,1996,3,0,0,0,0
118,39083,1996,2,0,0,0,0
119,39058,1996,5,0,0,0,0
120,39051,1996,3,0,0,0,0
121,39048,1996,3,0,0,0,0
122,39047,1996,1,0,0,0,0
123,39038,1996,2,0,0,0,0
124,39032,1996,1,0,0,0,0
