STATE,NUM_EVENTS,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOTAL_DAMAGE,TOTAL_INJURIES,TOTAL_DEATHS,TOTAL_REGISTRATIONS,TOTAL_MILES_DRIVEN,TOTAL_ROAD_LENGTH,POPULATION,REGION,DIVISION,YEAR
VIRGINIA,41,0,0,0,0,280000.0,0.0,280000.0,0,0,2262721,28419,0,4648494,SOUTH,SOUTH ATLANTIC,1970
WASHINGTON,4,0,0,0,0,25000.0,0.0,25000.0,0,0,2101961,20711,0,3409169,WEST,PACIFIC,1970
WEST VIRGINIA,17,0,0,0,0,2527500.0,0.0,2527500.0,0,0,860154,8401,0,1744237,SOUTH,SOUTH ATLANTIC,1970
WISCONSIN,84,8,0,0,0,5757500.0,0.0,5757500.0,8,0,2188463,24563,0,4417731,MIDWEST,EAST NORTH CENTRAL,1970
WYOMING,11,0,0,0,0,0.0,0.0,0.0,0,0,246661,3045,0,332416,WEST,MOUNTAIN,1970
ALABAMA,134,26,0,0,0,4635250.0,0.0,4635250.0,26,0,3014098,29027,87160,3893888,SOUTH,EAST SOUTH CENTRAL,1980
ARIZONA,22,0,0,0,0,0.0,0.0,0.0,0,0,2005882,18816,75183,2718215,WEST,MOUNTAIN,1980
ARKANSAS,112,113,0,1,0,20125000.0,0.0,20125000.0,113,1,1607871,16232,75448,2286435,SOUTH,WEST SOUTH CENTRAL,1980
CALIFORNIA,28,4,0,0,0,3080000.0,0.0,3080000.0,4,0,17618808,155890,178706,23667902,WEST,PACIFIC,1980
COLORADO,82,0,0,0,0,286000.0,0.0,286000.0,0,0,2455183,22411,74924,2889964,WEST,MOUNTAIN,1980
CONNECTICUT,4,0,0,0,0,0.0,0.0,0.0,0,0,2220359,19409,19381,3107576,NORTHEAST,NEW ENGLAND,1980
DELAWARE,13,0,0,0,0,0.0,0.0,0.0,0,0,408432,4232,5233,594338,SOUTH,SOUTH ATLANTIC,1980
