STATE,NUM_EVENTS,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,TOTAL_DAMAGE,TOTAL_INJURIES,TOTAL_DEATHS,TOTAL_REGISTRATIONS,TOTAL_MILES_DRIVEN,TOTAL_ROAD_LENGTH,POPULATION,REGION,DIVISION,YEAR
NORTH DAKOTA,967,34,0,4,0,147586500.0,65000000.0,212586500.0,34,4,693860,7217,86609,642023,MIDWEST,WEST NORTH CENTRAL,2000
OHIO,1418,179,0,12,0,61321000.0,1010000.0,62331000.0,179,12,10467476,105903,116964,11363543,MIDWEST,EAST NORTH CENTRAL,2000
OKLAHOMA,1796,21,0,6,0,127479670.0,399840500.0,527320170.0,21,6,3014491,43355,112634,3454365,SOUTH,WEST SOUTH CENTRAL,2000
OREGON,272,14,0,5,0,2413000.0,20000.0,2433000.0,14,5,3021574,33870,66895,3429708,WEST,PACIFIC,2000
PENNSYLVANIA,1353,17,0,24,0,38486400.0,0.0,38486400.0,17,24,9259967,102337,119642,12284173,NORTHEAST,MIDDLE ATLANTIC,2000
PUERTO RICO,119,12,0,2,0,1858000.0,1000000.0,2858000.0,12,2,2082090,17560,14869,3810605,NONE,NONE,2000
RHODE ISLAND,87,2,0,0,0,68000.0,0.0,68000.0,2,0,759570,8359,6052,1050268,NORTHEAST,NEW ENGLAND,2000
SOUTH CAROLINA,828,23,0,13,0,35400000.0,55000.0,35455000.0,23,13,3094729,45538,64921,4024223,SOUTH,SOUTH ATLANTIC,2000
SOUTH DAKOTA,1323,20,0,1,0,27977070.0,2775000.0,30752070.0,20,1,792509,8432,83471,755844,MIDWEST,WEST NORTH CENTRAL,2000
TENNESSEE,1047,14,0,5,0,7047570.0,2659000.0,9706570.0,14,5,4819799,65732,87419,5703719,SOUTH,EAST SOUTH CENTRAL,2000
TEXAS,4288,146,0,98,0,295969400.0,785175000.0,1081144400.0,146,98,14070096,220064,301035,20944499,SOUTH,WEST SOUTH CENTRAL,2000
UTAH,198,31,0,8,0,3947500.0,227000.0,4174500.0,31,8,1627606,22597,41852,2244502,WEST,MOUNTAIN,2000
VERMONT,306,4,0,1,0,5849000.0,0.0,5849000.0,4,1,514883,6811,14273,609618,NORTHEAST,NEW ENGLAND,2000
VIRGINIA,1695,51,0,7,0,10362900.0,614000.0,10976900.0,51,7,6046127,74801,70393,7105817,SOUTH,SOUTH ATLANTIC,2000
WASHINGTON,191,21,0,3,0,11206500.0,120000.0,11326500.0,21,3,5115866,53330,80209,5910512,WEST,PACIFIC,2000
WEST VIRGINIA,1123,3,0,4,0,13281400.0,0.0,13281400.0,3,4,1441735,19242,37277,1807021,SOUTH,SOUTH ATLANTIC,2000
WISCONSIN,1335,69,0,3,0,183323250.0,53002000.0,236325250.0,69,3,4365525,57266,112359,5373999,MIDWEST,EAST NORTH CENTRAL,2000
WYOMING,363,48,0,4,0,2582000.0,0.0,2582000.0,48,4,585690,8090,27326,494300,WEST,MOUNTAIN,2000
ALABAMA,1274,108,14,8,11,34548100.0,375000.0,34923100.0,122,19,4653838,64165,101575,4785448,SOUTH,EAST SOUTH CENTRAL,2010
ALASKA,255,0,0,0,1,8824500.0,0.0,8824500.0,0,1,710444,4798,16303,713906,WEST,PACIFIC,2010
ARIZONA,546,38,45,4,5,2860668300.0,75000.0,2860743300.0,83,9,4320010,59995,64308,6407774,WEST,MOUNTAIN,2010
ARKANSAS,1598,73,1,36,1,58087850.0,3105000.0,61192850.0,74,37,2073411,33504,100068,2921978,SOUTH,WEST SOUTH CENTRAL,2010
CALIFORNIA,871,38,13,18,4,233083100.0,3200000.0,236283100.0,51,22,31014128,322849,172139,37320903,WEST,PACIFIC,2010
COLORADO,1756,20,24,9,0,296553800.0,22202000.0,318755800.0,44,9,4180298,46940,88353,5048281,WEST,MOUNTAIN,2010
CONNECTICUT,312,37,2,3,3,22963600.0,0.0,22963600.0,39,6,3082011,31294,21391,3579125,NORTHEAST,NEW ENGLAND,2010
DELAWARE,143,1,25,2,0,9644000.0,0.0,9644000.0,26,2,799012,8948,6337,899595,SOUTH,SOUTH ATLANTIC,2010
FLORIDA,794,77,14,21,4,15071100.0,745254100.0,760325200.0,91,25,14372807,195755,121702,18845785,SOUTH,SOUTH ATLANTIC,2010
GEORGIA,1353,24,49,6,5,31599270.0,17000.0,31616270.0,73,11,7701942,111722,122917,9711810,SOUTH,SOUTH ATLANTIC,2010
HAWAII,600,6,0,0,0,0.0,0.0,0.0,6,0,904467,9995,4395,1363963,WEST,PACIFIC,2010
IDAHO,321,72,1,5,0,5915000.0,21000.0,5936000.0,73,5,1324985,15801,48771,1570773,WEST,MOUNTAIN,2010
ILLINOIS,2482,79,61,29,16,444054300.0,387000.0,444441300.0,140,45,10078618,105788,139519,12840762,MIDWEST,EAST NORTH CENTRAL,2010
INDIANA,1299,23,57,6,5,11921200.0,2149750.0,14070950.0,80,11,5698013,75761,96988,6490436,MIDWEST,EAST NORTH CENTRAL,2010
IOWA,2940,162,11,2,0,257405450.0,1067104000.0,1324509450.0,173,2,3312705,31389,114383,3050767,MIDWEST,WEST NORTH CENTRAL,2010
KANSAS,2705,27,86,0,4,164808470.0,10074600.0,174883070.0,113,4,2436246,29900,140653,2858213,MIDWEST,WEST NORTH CENTRAL,2010
KENTUCKY,2997,82,8,11,6,32648500.0,344000.0,32992500.0,90,17,3589118,48007,79184,4348200,SOUTH,EAST SOUTH CENTRAL,2010
LOUISIANA,696,18,0,8,1,59450600.0,25340000.0,84790600.0,18,9,4086128,45439,61327,4544532,SOUTH,WEST SOUTH CENTRAL,2010
MAINE,430,9,3,0,0,5606000.0,5000.0,5611000.0,12,0,1053842,14549,22864,1327632,NORTHEAST,NEW ENGLAND,2010
MARYLAND,754,38,17,9,0,3709500.0,0.0,3709500.0,55,9,4557006,56126,31526,5788642,SOUTH,SOUTH ATLANTIC,2010
MASSACHUSETTS,500,26,15,2,1,173556850.0,0.0,173556850.0,41,3,5333915,54362,36248,6566431,NORTHEAST,NEW ENGLAND,2010
MICHIGAN,853,27,8,12,2,256778000.0,260000.0,257038000.0,35,14,9286067,97567,121969,9877535,MIDWEST,EAST NORTH CENTRAL,2010
MINNESOTA,2023,51,6,5,4,115533100.0,7999000.0,123532100.0,57,9,4847971,56632,138164,5310843,MIDWEST,WEST NORTH CENTRAL,2010
MISSISSIPPI,1579,174,19,27,5,424101000.0,51786000.0,475887000.0,193,32,2015915,39841,75080,2970536,SOUTH,EAST SOUTH CENTRAL,2010
MISSOURI,2417,309,14,16,1,107144800.0,115000.0,107259800.0,323,17,5153425,70864,130360,5995976,MIDWEST,WEST NORTH CENTRAL,2010
MONTANA,1185,3,5,4,2,127425400.0,1501000.0,128926400.0,8,6,925854,11190,74793,990722,WEST,MOUNTAIN,2010
NEBRASKA,2151,4,43,2,13,25361550.0,2390010.0,27751560.0,47,15,1802498,19438,93653,1829536,MIDWEST,WEST NORTH CENTRAL,2010
NEVADA,239,5,2,23,2,7580600.0,0.0,7580600.0,7,25,1361671,22201,35061,2702464,WEST,MOUNTAIN,2010
NEW HAMPSHIRE,236,6,0,1,0,14632100.0,0.0,14632100.0,6,1,1202974,13065,16085,1316777,NORTHEAST,NEW ENGLAND,2010
NEW JERSEY,906,20,13,8,0,202628250.0,1000.0,202629250.0,33,8,6628080,73028,39242,8799624,NORTHEAST,MIDDLE ATLANTIC,2010
NEW MEXICO,764,4,24,2,10,22745450.0,284000.0,23029450.0,28,12,1612491,25274,68378,2064588,WEST,MOUNTAIN,2010
NEW YORK,1479,26,4,23,3,89265400.0,728000.0,89993400.0,30,26,10255099,131252,114574,19400080,NORTHEAST,MIDDLE ATLANTIC,2010
NORTH CAROLINA,2236,34,19,14,17,51562450.0,71677000.0,123239450.0,53,31,5742829,102385,105653,9574293,SOUTH,SOUTH ATLANTIC,2010
NORTH DAKOTA,1420,6,1,1,0,84647500.0,16312000.0,100959500.0,7,1,735644,8262,86842,674710,MIDWEST,WEST NORTH CENTRAL,2010
OHIO,1457,64,0,16,0,197667000.0,36000.0,197703000.0,64,16,9800933,111836,123192,11539327,MIDWEST,EAST NORTH CENTRAL,2010
OKLAHOMA,1229,410,13,7,1,33987400.0,0.0,33987400.0,423,8,3357464,47746,112873,3759632,SOUTH,WEST SOUTH CENTRAL,2010
OREGON,375,3,12,4,0,4801000.0,3520000.0,8321000.0,15,4,3050254,33774,59151,3837532,WEST,PACIFIC,2010
PENNSYLVANIA,1263,9,14,27,6,47909470.0,320000.0,48229470.0,23,33,9990941,100329,119685,12711158,NORTHEAST,MIDDLE ATLANTIC,2010
PUERTO RICO,217,11,0,6,0,2208500.0,0.0,2208500.0,11,6,2531199,18588,16691,3721525,NONE,NONE,2010
RHODE ISLAND,54,1,1,0,1,88227000.0,0.0,88227000.0,2,1,782438,8280,6490,1053938,NORTHEAST,NEW ENGLAND,2010
SOUTH CAROLINA,1164,12,0,2,2,14835850.0,65000.0,14900850.0,12,4,3660878,49124,66024,4635656,SOUTH,SOUTH ATLANTIC,2010
SOUTH DAKOTA,1957,15,9,0,6,18380500.0,1535000.0,19915500.0,24,6,925548,8866,82447,816165,MIDWEST,WEST NORTH CENTRAL,2010
TENNESSEE,1781,55,28,53,7,2357713300.0,4051000.0,2361764300.0,83,60,5113913,70439,94207,6355301,SOUTH,EAST SOUTH CENTRAL,2010
TEXAS,2950,32,92,27,13,257440000.0,87377000.0,344817000.0,124,40,17193559,234016,311249,25242679,SOUTH,WEST SOUTH CENTRAL,2010
UTAH,470,12,0,5,0,35887000.0,0.0,35887000.0,12,5,2654715,26585,45124,2775334,WEST,MOUNTAIN,2010
VERMONT,330,3,1,0,0,10177000.0,930000.0,11107000.0,4,0,566650,7248,14437,625880,NORTHEAST,NEW ENGLAND,2010
VIRGINIA,2324,16,2,1,4,17333600.0,7000.0,17340600.0,18,5,6148794,82171,74378,8023680,SOUTH,SOUTH ATLANTIC,2010
WASHINGTON,324,8,19,3,9,10996000.0,90000.0,11086000.0,27,12,4682790,57190,83822,6742902,WEST,PACIFIC,2010
WEST VIRGINIA,674,12,0,5,0,27856100.0,100.0,27856200.0,12,5,1435523,19203,38625,1854214,SOUTH,SOUTH ATLANTIC,2010
WISCONSIN,1554,50,63,6,10,105959240.0,19890100.0,125849340.0,113,16,4967777,59420,114963,5690479,MIDWEST,EAST NORTH CENTRAL,2010
WYOMING,982,32,0,5,1,61258400.0,124300.0,61382700.0,32,6,663253,9363,28105,564483,WEST,MOUNTAIN,2010
ALABAMA,892,17,11,13,1,14794500.0,0.0,14794500.0,28,14,5400419,67257,102019,4853160,SOUTH,EAST SOUTH CENTRAL,2015
ALASKA,220,8,0,10,1,26703800.0,1000.0,26704800.0,8,11,815122,5045,16129,737547,WEST,PACIFIC,2015
ARIZONA,518,58,12,8,2,10740500.0,50000.0,10790500.0,70,10,5630647,65045,66122,6833596,WEST,MOUNTAIN,2015
ARKANSAS,1243,337,2,10,0,18253000.0,27257000.0,45510000.0,339,10,2772214,34897,102609,2978407,SOUTH,WEST SOUTH CENTRAL,2015
CALIFORNIA,1143,40,17,12,11,108526400.0,200000.0,108726400.0,57,23,29424012,335539,195834,38953142,WEST,PACIFIC,2015
COLORADO,1292,21,6,3,0,8715100.0,1820000.0,10535100.0,27,3,5005172,50437,88740,5452107,WEST,MOUNTAIN,2015
CONNECTICUT,170,3,0,2,0,1501000.0,0.0,1501000.0,3,2,2841764,31592,21512,3587509,NORTHEAST,NEW ENGLAND,2015
DELAWARE,166,4,85,0,0,545500.0,0.0,545500.0,89,0,964316,9931,6416,941413,SOUTH,SOUTH ATLANTIC,2015
FLORIDA,1200,81,3,26,1,26002900.0,1000500.0,27003400.0,84,27,16105008,206982,122659,20224249,SOUTH,SOUTH ATLANTIC,2015
GEORGIA,1355,21,0,5,2,33518170.0,14000.0,33532170.0,21,7,8137621,118107,128134,10181111,SOUTH,SOUTH ATLANTIC,2015
HAWAII,759,5,3,4,1,88500.0,30000.0,118500.0,8,5,1242319,10301,4455,1422484,WEST,PACIFIC,2015
IDAHO,373,4,1,7,2,8734800.0,1000.0,8735800.0,5,9,1854019,16662,51163,1651523,WEST,MOUNTAIN,2015
ILLINOIS,1810,48,18,32,5,72346500.0,1266000.0,73612500.0,66,37,10595254,105223,145840,12864342,MIDWEST,EAST NORTH CENTRAL,2015
INDIANA,1315,19,2,8,7,4195600.0,1152750.0,5348350.0,21,15,6045114,78819,96571,6608296,MIDWEST,EAST NORTH CENTRAL,2015
IOWA,2102,7,2,4,1,94875500.0,10831000.0,105706500.0,9,5,3636898,33161,114442,3121460,MIDWEST,WEST NORTH CENTRAL,2015
KANSAS,2047,6,9,3,0,27861650.0,7001500.0,34863150.0,15,3,2634856,31379,140654,2909502,MIDWEST,WEST NORTH CENTRAL,2015
KENTUCKY,2457,31,23,22,7,17231310.0,102000.0,17333310.0,54,29,4151982,48675,79857,4425999,SOUTH,EAST SOUTH CENTRAL,2015
LOUISIANA,752,16,0,4,0,15373000.0,1715000.0,17088000.0,16,4,3901432,48180,61419,4664851,SOUTH,WEST SOUTH CENTRAL,2015
MAINE,441,2,40,0,0,988500.0,50000.0,1038500.0,42,0,1104001,14629,22911,1328484,NORTHEAST,NEW ENGLAND,2015
MARYLAND,878,9,1,4,4,1687000.0,2000.0,1689000.0,10,8,4135158,57516,32037,5986717,SOUTH,SOUTH ATLANTIC,2015
MASSACHUSETTS,605,1,2,0,3,5497500.0,0.0,5497500.0,3,3,5069601,59257,36423,6795891,NORTHEAST,NEW ENGLAND,2015
MICHIGAN,878,9,6,0,1,79924000.0,0.0,79924000.0,15,1,8294108,97843,122286,9932573,MIDWEST,EAST NORTH CENTRAL,2015
MINNESOTA,1231,6,1,1,3,5607900.0,211000.0,5818900.0,7,4,5281269,57395,138767,5482503,MIDWEST,WEST NORTH CENTRAL,2015
MISSISSIPPI,863,67,1,13,5,20230160.0,8843600.0,29073760.0,68,18,2068853,39890,76777,2988693,SOUTH,EAST SOUTH CENTRAL,2015
MISSOURI,2477,99,12,29,3,323680000.0,7510000.0,331190000.0,111,32,5624005,71918,131549,6071745,MIDWEST,WEST NORTH CENTRAL,2015
MONTANA,787,2,3,1,5,4423500.0,0.0,4423500.0,5,6,1645227,12345,75007,1030503,WEST,MOUNTAIN,2015
NEBRASKA,1481,0,0,2,0,235079800.0,72577000.0,307656800.0,0,2,1981296,20101,94481,1891507,MIDWEST,WEST NORTH CENTRAL,2015
NEVADA,254,24,67,25,11,4645600.0,0.0,4645600.0,91,36,2316056,25925,43900,2868666,WEST,MOUNTAIN,2015
NEW HAMPSHIRE,187,34,0,3,0,371000.0,0.0,371000.0,34,3,1296137,13094,16138,1336294,NORTHEAST,NEW ENGLAND,2015
NEW JERSEY,861,44,113,6,8,65600500.0,0.0,65600500.0,157,14,5938585,75393,39065,8870869,NORTHEAST,MIDDLE ATLANTIC,2015
NEW MEXICO,814,12,0,9,1,410924700.0,5000.0,410929700.0,12,10,1823445,27435,69069,2090211,WEST,MOUNTAIN,2015
NEW YORK,1272,1,0,5,0,32502250.0,5000.0,32507250.0,1,5,10638765,127230,114365,19661411,NORTHEAST,MIDDLE ATLANTIC,2015
NORTH CAROLINA,1384,25,2,5,1,25624350.0,7000.0,25631350.0,27,6,7928973,111879,106334,10033079,SOUTH,SOUTH ATLANTIC,2015
NORTH DAKOTA,811,0,0,0,0,7317000.0,2975000.0,10292000.0,0,0,890803,10036,87128,754022,MIDWEST,WEST NORTH CENTRAL,2015
OHIO,1416,9,0,6,0,37622150.0,780250.0,38402400.0,9,6,10557323,113673,122926,11617850,MIDWEST,EAST NORTH CENTRAL,2015
OKLAHOMA,2057,171,0,18,4,122719900.0,0.0,122719900.0,171,22,2988512,47713,112711,3909831,SOUTH,WEST SOUTH CENTRAL,2015
OREGON,381,8,4,6,3,23718000.0,0.0,23718000.0,12,9,3607482,35999,73544,4016918,WEST,PACIFIC,2015
PENNSYLVANIA,1470,15,120,15,8,20544350.0,0.0,20544350.0,135,23,10598694,100945,120091,12785759,NORTHEAST,MIDDLE ATLANTIC,2015
PUERTO RICO,102,0,1,8,0,14300.0,2100.0,16400.0,1,8,0,14564,17184,3473166,NONE,NONE,2015
RHODE ISLAND,109,0,1,0,0,513000.0,0.0,513000.0,1,0,875097,7833,6046,1056173,NORTHEAST,NEW ENGLAND,2015
SOUTH CAROLINA,1317,42,1,19,0,153771870.0,24847000.0,178618870.0,43,19,4162651,51726,76250,4892253,SOUTH,SOUTH ATLANTIC,2015
SOUTH DAKOTA,1680,14,0,3,0,7870000.0,0.0,7870000.0,14,3,1082289,9324,82576,853933,MIDWEST,WEST NORTH CENTRAL,2015
TENNESSEE,1180,8,2,19,4,78686250.0,2110000.0,80796250.0,10,23,5612123,76670,95637,6590808,SOUTH,EAST SOUTH CENTRAL,2015
TEXAS,5278,725,48,86,32,2142740070.0,455955500.0,2598695570.0,773,118,21864841,258122,313596,27486814,SOUTH,WEST SOUTH CENTRAL,2015
UTAH,325,31,33,24,1,2774000.0,0.0,2774000.0,64,25,2229193,29604,46299,2982497,WEST,MOUNTAIN,2015
VERMONT,234,0,0,0,5,3553500.0,0.0,3553500.0,0,5,655347,7314,14252,625197,NORTHEAST,NEW ENGLAND,2015
VIRGINIA,1686,3,0,2,1,19018400.0,512000.0,19530400.0,3,3,7238905,82625,75061,8362907,SOUTH,SOUTH ATLANTIC,2015
WASHINGTON,538,7,2,8,6,28941510.0,20500.0,28962010.0,9,14,6725467,59653,80338,7163543,WEST,PACIFIC,2015
WEST VIRGINIA,895,2,1,4,2,20726000.0,0.0,20726000.0,3,6,1613345,19827,38770,1841996,SOUTH,SOUTH ATLANTIC,2015
WISCONSIN,824,8,4,4,7,8732600.0,6000.0,8738600.0,12,11,5466581,62073,115372,5761406,MIDWEST,EAST NORTH CENTRAL,2015
WYOMING,1016,5,27,2,2,10352000.0,250000.0,10602000.0,32,4,814989,9597,28942,585668,WEST,MOUNTAIN,2015
