,fips_id,year,num_events,total_injuries,total_deaths,property_damage,crop_damage
0,01003,1997,1,0,0,0,0
1,32007,1997,2,0,0,0,0
2,32005,1997,1,0,0,0,0
3,32004,1997,2,0,0,0,0
4,32002,1997,1,0,0,0,0
5,31177,1997,1,0,0,0,0
6,31155,1997,1,0,0,0,0
7,31119,1997,1,0,0,0,0
8,31093,1997,3,0,0,0,0
9,31068,1997,3,0,0,0,0
10,31055,1997,1,0,0,0,0
11,31052,1997,3,0,0,0,0
12,31050,1997,1,0,0,0,0
13,31045,1997,3,0,0,0,0
14,31044,1997,1,0,0,0,0
15,31043,1997,1,0,0,0,0
16,31042,1997,1,0,0,0,0
17,31037,1997,1,0,0,0,0
18,31034,1997,1,0,0,0,0
19,31032,1997,1,0,0,0,0
20,31031,1997,1,0,0,0,0
21,31016,1997,1,0,0,0,0
22,32009,1997,1,0,0,0,0
23,32015,1997,1,0,0,0,0
24,32021,1997,2,0,0,0,0
25,32031,1997,2,0,0,0,0
26,34033,1997,2,0,0,0,0
27,34031,1997,5,0,0,0,0
28,34027,1997,4,0,0,0,0
29,34026,1997,6,0,0,0,0
30,34025,1997,11,0,0,0,0
31,34024,1997,6,0,0,0,0
32,34023,1997,7,0,0,0,0
33,34021,1997,5,0,0,0,0
34,34019,1997,6,3,0,0,0
35,34017,1997,4,0,0,0,0
36,31015,1997,1,0,0,0,0
37,34015,1997,2,0,0,0,0
38,34010,1997,1,0,0,0,0
39,34007,1997,3,0,0,0,0
40,34006,1997,1,0,0,0,0
41,34005,1997,7,0,0,0,0
42,34004,1997,1,0,0,0,0
43,34003,1997,3,0,0,0,0
44,33017,1997,2,0,0,0,0
45,33012,1997,1,0,0,0,0
46,33009,1997,2,0,0,0,0
47,33003,1997,3,0,0,0,0
48,34014,1997,5,0,0,0,0
49,34035,1997,4,0,0,0,0
50,31011,1997,1,0,0,0,0
51,30109,1997,1,0,0,0,0
52,29221,1997,1,0,0,0,0
53,29219,1997,1,0,0,0,0
54,29217,1997,5,0,0,0,0
55,29215,1997,2,0,0,0,0
56,29213,1997,1,0,0,0,0
57,29203,1997,2,0,0,0,0
58,29201,1997,1,0,0,0,0
59,29195,1997,1,0,0,0,0
60,29187,1997,2,0,1,0,0
61,29185,1997,3,0,0,0,0
62,29181,1997,1,0,0,0,0
63,29175,1997,1,0,0,0,0
64,29169,1997,1,0,0,0,0
65,29167,1997,2,0,0,0,0
66,29163,1997,1,0,0,0,0
67,29161,1997,1,0,0,0,0
68,29159,1997,1,0,0,0,0
69,29157,1997,2,0,0,0,0
70,29153,1997,2,0,0,0,0
71,29141,1997,2,0,0,0,0
72,99097,1997,1,0,0,0,0
73,29223,1997,2,0,0,0,0
74,29225,1997,1,0,0,0,0
75,29229,1997,2,0,0,0,0
76,30002,1997,3,0,0,0,0
77,30097,1997,2,0,0,0,0
78,30095,1997,3,0,0,0,0
79,30085,1997,3,0,0,0,0
80,30071,1997,1,0,0,0,0
81,30069,1997,1,0,0,0,0
82,30065,1997,1,0,0,0,0
83,30045,1997,1,0,0,0,0
84,30037,1997,1,0,0,0,0
85,30035,1997,4,0,0,0,0
86,30034,1997,2,0,0,0,0
87,30111,1997,3,0,0,0,0
88,30028,1997,1,0,0,0,0
89,30025,1997,3,0,0,0,0
90,30023,1997,1,0,0,0,0
91,30021,1997,2,0,0,0,0
92,30020,1997,1,0,0,0,0
93,30018,1997,1,0,0,0,0
94,30017,1997,2,0,0,0,0
95,30016,1997,3,0,0,0,0
96,30012,1997,1,0,0,0,0
97,30009,1997,1,0,0,0,0
98,30004,1997,2,0,0,0,0
99,30026,1997,1,0,0,0,0
100,29137,1997,1,0,0,0,0
101,34037,1997,2,2,0,0,0
102,34041,1997,3,0,0,0,0
103,37185,1997,1,0,0,0,0
104,37183,1997,2,0,0,0,0
105,37181,1997,1,0,0,0,0
106,37179,1997,2,0,0,0,0
